"ID_REF"	"GSM3175736"	"GSM3175737"	"GSM3175738"	"GSM3175739"	"GSM3175740"	"GSM3175741"
"AFFX-BkGr-GC03_st"	2.4094205	2.312806	2.6177561	2.508775	2.5020816	2.5393276
"AFFX-BkGr-GC04_st"	2.3219109	2.2865198	2.3518767	2.3761635	2.3052328	2.3629873
"AFFX-BkGr-GC05_st"	2.3577292	2.2879794	2.3678977	2.3858309	2.3345747	2.3956597
"AFFX-BkGr-GC06_st"	2.4236288	2.3244514	2.4215343	2.4460435	2.386879	2.437441
"AFFX-BkGr-GC07_st"	2.4640777	2.3524058	2.453222	2.4799778	2.399258	2.4634652
"AFFX-BkGr-GC08_st"	2.486278	2.3825939	2.479948	2.5186687	2.4258614	2.490346
"AFFX-BkGr-GC09_st"	2.5396223	2.4748569	2.552991	2.5698218	2.491594	2.5598493
"AFFX-BkGr-GC10_st"	2.652773	2.5724816	2.6503353	2.6852853	2.5869446	2.6876836
"AFFX-BkGr-GC11_st"	2.7960715	2.679769	2.7185175	2.7854993	2.718012	2.7615192
"AFFX-BkGr-GC12_st"	2.9699907	2.9503555	2.920783	2.986573	2.944515	2.998967
"AFFX-BkGr-GC13_st"	3.259155	3.2487454	3.2061367	3.3163211	3.2139726	3.2745974
"AFFX-BkGr-GC14_st"	3.7705855	3.743386	3.698234	3.7561913	3.6775627	3.7964451
"AFFX-BkGr-GC15_st"	4.2074704	4.1931095	4.1593504	4.2673163	4.1194253	4.252166
"AFFX-BkGr-GC16_st"	5.1486325	5.1071367	5.094098	5.1446223	4.9851446	5.128742
"AFFX-BkGr-GC17_st"	5.5649095	5.519756	5.478869	5.591379	5.443551	5.585965
"AFFX-BkGr-GC18_st"	6.097817	6.0249033	5.9772625	6.1219835	5.9316144	6.1058373
"AFFX-BkGr-GC19_st"	6.586066	6.5067205	6.498905	6.652503	6.3949285	6.572318
"AFFX-BkGr-GC20_st"	6.8822803	6.752989	6.7477984	6.910845	6.6462274	6.862289
"AFFX-BkGr-GC21_st"	7.044369	6.966296	6.9039183	7.077542	6.814396	7.023625
"AFFX-BkGr-GC22_st"	7.488367	7.3952794	7.351668	7.496636	7.340112	7.4418883
"AFFX-BkGr-GC23_st"	7.3796444	7.2297587	7.222586	7.3911967	7.223628	7.3216405
"AFFX-BkGr-GC24_st"	6.952169	6.7914095	6.7334743	6.9782457	6.8146195	6.856202
"AFFX-BkGr-GC25_st"	6.504148	6.2964373	6.1141005	6.779865	6.3911753	6.3534446
"AFFX-r2-Bs-dap-5_st"	7.6936154	7.5994396	7.7136397	7.8404083	7.8322077	8.002014
"AFFX-r2-Bs-lys-5_st"	3.691917	3.7046404	3.7539642	3.824331	3.6744356	3.9524648
"AFFX-r2-Bs-phe-5_st"	5.146465	5.1704464	5.39088	5.5676622	5.4520316	5.6128054
"AFFX-r2-Bs-thr-5_s_st"	5.7039013	5.6117697	5.514177	6.1207137	6.191983	6.14667
"AFFX-r2-Ec-bioB-5_at"	8.015324	8.126212	8.304402	8.404327	8.28946	8.299053
"AFFX-r2-Ec-bioC-5_at"	9.470179	9.249648	9.571997	9.56895	9.55684	9.561193
"AFFX-r2-Ec-bioD-5_at"	10.940075	11.067165	11.095131	11.047527	11.167202	10.98516
"AFFX-r2-P1-cre-5_at"	12.563512	12.662729	12.687255	12.666186	12.723356	12.620379
"ERCCmix1step1"	4.212499	4.194732	4.574005	4.5650764	4.1895437	4.3027987
"ERCCmix1step10"	4.194265	4.117011	4.093452	4.2825294	4.186967	4.1225147
"ERCCmix1step11"	5.6012535	5.454797	5.603113	5.6105857	5.3419857	5.716247
"ERCCmix1step12"	3.4864173	3.6096246	3.6952298	3.7807648	3.705096	3.6022463
"ERCCmix1step13"	4.34615	4.198166	4.058883	4.148574	4.119909	4.271891
"ERCCmix1step14"	4.9212284	4.644787	4.9489026	4.816473	4.685144	4.9685574
"ERCCmix1step15"	3.2921512	3.1244407	2.9013736	3.2262106	3.2199683	3.20058
"ERCCmix1step16"	3.2786233	3.1180685	3.0507221	3.0844269	2.896618	3.4818025
"ERCCmix1step17"	3.5030334	3.2829375	3.5545013	3.497625	3.4394867	3.519658
"ERCCmix1step18"	3.847796	3.7548797	3.7463987	3.823889	3.625653	3.6565309
"ERCCmix1step19"	5.215398	5.075165	5.47909	5.139885	5.151332	5.14905
"ERCCmix1step2"	5.192961	4.996239	5.100671	5.0506296	4.6911364	4.988411
"ERCCmix1step20"	4.1261144	3.8533223	3.896673	3.9032042	3.7474532	4.0118113
"ERCCmix1step21"	6.1804395	6.292833	6.2312484	6.205112	6.1263523	6.2068224
"ERCCmix1step22"	7.2455463	7.536588	7.2289734	7.1356993	7.264362	7.2879963
"ERCCmix1step3"	4.450771	4.606215	4.301234	4.4741797	4.3992004	4.2146044
"ERCCmix1step4"	4.862898	4.6196146	4.459508	4.43406	4.609475	4.4752145
"ERCCmix1step5"	4.833588	4.372527	4.285648	4.6185927	3.9881253	4.1719007
"ERCCmix1step6"	2.5554612	2.6905303	2.6785212	2.664405	2.5849447	2.6277509
"ERCCmix1step7"	3.4423754	3.873789	3.898544	3.5214672	3.7050216	3.6996138
"ERCCmix1step8"	4.5624933	4.556445	4.3315825	4.4644876	4.3647614	4.4761133
"ERCCmix1step9"	4.9172554	5.107161	4.8940253	4.6219473	4.8133855	4.809325
"ERCCmix2step1"	5.192961	4.996239	5.100671	5.0506296	4.6911364	4.988411
"ERCCmix2step10"	4.4697013	4.1238084	4.217277	4.21835	4.133173	4.3762326
