"ID_REF"	"GSM2509848"	"GSM2509849"	"GSM2509850"	"GSM2509851"
"2824546_st"	13.8126	13.7435	13.57684	13.5044
"2824549_st"	13.0363	12.90639	12.79324	12.78494
"2824551_st"	13.00342	13.1997	12.89969	12.92006
"2824554_st"	12.96875	12.9589	12.82327	12.65534
"2827992_st"	12.14459	12.17608	11.95228	12.01005
"2827995_st"	11.63275	11.63989	11.52727	11.37651
"2827996_st"	11.85923	11.69993	11.597	11.70092
"2828010_st"	9.819944	9.754086	9.657646	9.462495
"2828012_st"	10.03915	10.48448	10.29986	10.01556
"2835442_st"	10.5514	10.13647	10.2053	9.90452
"2835447_st"	7.372988	9.066872	8.169519	8.433237
"2835453_st"	9.868329	10.12499	9.401326	9.59094
"2835456_st"	12.62447	12.51704	12.63649	12.54423
"2835459_st"	10.75833	10.56144	10.54874	10.65471
"2835461_st"	9.537445	9.16654	9.061852	9.117168
"2839509_st"	11.66625	11.55477	11.73326	11.74922
"2839511_st"	10.46314	10.26143	10.74824	10.6931
"2839513_st"	11.57997	11.46315	11.74194	11.69882
"2839515_st"	10.22244	10.23716	10.81335	10.36518
"2839517_st"	11.8576	11.81135	12.00329	11.98096
"2839524_st"	12.1087	11.84657	12.34179	12.34609
"2839528_st"	11.11179	11.1319	11.43532	11.57393
"2839532_st"	8.543841	8.077934	8.784502	8.853183
"2839538_st"	10.81512	10.86015	10.96083	11.31219
"2839539_st"	6.102142	6.154407	5.991783	5.760587
"2858288_st"	13.6153	13.60097	13.58966	13.59182
"2886354_st"	10.87476	11.15099	10.98083	11.2427
"2886356_st"	12.10526	11.9109	12.43558	12.38644
"2886364_st"	11.99871	11.99606	12.11799	12.28177
"2886370_st"	11.57812	11.3049	11.54976	11.6541
"2891949_st"	11.18066	11.27355	11.17443	11.21718
"2891951_st"	11.32408	11.49738	11.36246	11.36547
"2891953_st"	13.43363	13.4232	13.50375	13.55317
"2891956_st"	12.51798	12.60559	12.57558	12.5269
"2909142_st"	11.94598	12.2877	12.14124	12.38801
"2909145_st"	9.329705	8.767222	8.748057	8.602548
"2909154_st"	8.817654	9.029865	8.624647	8.949344
"2909160_st"	6.518998	7.998362	7.467275	7.529114
"2909162_st"	7.870115	7.955414	8.099134	8.487677
"2909164_st"	5.706286	7.417511	6.790635	6.462861
"2909166_st"	7.964107	8.494694	8.610875	8.063176
"2909167_st"	9.720175	9.914325	9.758156	9.624265
"2909168_st"	10.32498	10.07743	9.824496	9.852077
"2909172_st"	9.23472	8.981451	9.266106	9.322964
"2909174_st"	9.816119	9.688617	9.958857	10.12116
"2909175_st"	9.921781	10.08475	9.870687	9.777189
"2909177_st"	10.36628	10.12375	10.32301	10.26645
"2909181_st"	8.214122	8.208036	8.289832	8.36942
"2909183_st"	11.56621	11.67274	11.57918	11.61871
"2909185_st"	10.87303	10.31991	10.37309	9.984361
"2909190_st"	7.680954	8.221392	7.619923	7.66327
